"ID","ISDELETED","ACCOUNTID","NAME","DESCRIPTION","STAGENAME","AMOUNT","PROBABILITY","EXPECTEDREVENUE","TOTALOPPORTUNITYQUANTITY","CLOSEDATE","TYPE","NEXTSTEP","LEADSOURCE","ISCLOSED","ISWON","FORECASTCATEGORY","HASOPPORTUNITYLINEITEM","PRICEBOOKID","PRICEBOOK2ID","OWNERID","CREATEDDATE","CREATEDBYID","LASTMODIFIEDDATE","LASTMODIFIEDBYID","SYSTEMMODSTAMP","LASTACTIVITYDATE","FISCALQUARTER","FISCALYEAR","FISCAL","ORACLE_ID__C","ERROR"
"006x0000001YZ8YAAW","false","001x0000002lBtqAAE","George Foundation - 5000 Widgets","Initial deal for 5000 widgets. We expect follow-on business with a potential upside of 40000 additional widgets over the next 12 months.","Closed Won","500000.0","100.0","500000.0","","2005-11-09","Opportunity","Closed!","Advertisement","true","true","Closed","false","","","005x0000000fNSiAAM","2005-11-22T19:39:11.000Z","005x0000000fNSiAAM","2005-11-22T19:39:11.000Z","005x0000000fNSiAAM","2005-11-22T19:39:11.000Z","","4","2005","2005 4","","Oracle_Id__c not specified"
"006x0000001YZ8YAAW","false","001x0000002lBtuAAE","Universal Media - 500 Widgets","Initial deal for 500 widgets. We expect follow-on business with a potential upside of 4000 additional widgets over the next 12 months.","Closed Won","50000.0","100.0","50000.0","","2005-11-09","Opportunity","Closed!","Advertisement","true","true","Closed","false","","","005x0000000fNSiAAM","2005-11-22T19:39:11.000Z","005x0000000fNSiAAM","2005-11-22T19:39:11.000Z","005x0000000fNSiAAM","2005-11-22T19:39:11.000Z","","4","2005","2005 4","","Oracle_Id__c not specified"
"006x0000001YnVNAA0","false","001x0000002lBtoAAE","Acme - 1,200 Widgets","The deal is at  50% because they are at the sales process stage of evaluating our ROI justification.","Value Proposition","140000.0","50.0","70000.0","","2005-12-12","Opportunity","Need estimate","Trade Show","false","false","Pipeline","false","","","005x0000000fNSiAAM","2005-11-22T19:39:11.000Z","005x0000000fNSiAAM","2005-11-22T19:39:11.000Z","005x0000000fNSiAAM","2005-11-22T19:39:11.000Z","","4","2005","2005 4","","Oracle_Id__c not specified"
"006x0000001YnVOAA0","false","001x0000002lBtrAAE","McCall-Janeson - 1,000 Widgets","They are interested in our widgets!  The deal is at 90% because they are at the sales process stage of negotiating the finer points of a proposal that we submitted.  We are negotiating with their key decision makers and are confident that this deal will close soon.","Negotiation/Review","100000.0","90.0","90000.0","","2005-12-12","Opportunity","Close the deal!","Advertisement","false","false","Pipeline","false","","","005x0000000fNSiAAM","2005-11-22T19:39:12.000Z","005x0000000fNSiAAM","2005-11-22T19:39:12.000Z","005x0000000fNSiAAM","2005-11-22T19:39:12.000Z","","4","2005","2005 4","","Oracle_Id__c not specified"
"006x0000001YnVPAA0","false","001x0000002lBtqAAE","George Foundation - 400 Widgets","The deal is at 60% because they are still at the sales process stage of getting buy-in from the key decision makers.","Id. Decision Makers","40000.0","60.0","24000.0","","2006-01-10","Opportunity","","Partner","false","false","Pipeline","false","","","005x0000000fNSiAAM","2005-11-22T19:39:12.000Z","005x0000000fNSiAAM","2005-11-22T19:39:12.000Z","005x0000000fNSiAAM","2005-11-22T19:39:12.000Z","","1","2006","2006 1","","Oracle_Id__c not specified"
"006x0000001YnVQAA0","false","001x0000002lBtoAAE","Acme - 600 Widgets","The deal is at 20% because they are at the sales process stage of defining their requirements.  It is not clear whether our solutions are a good fit or not but they are willing to discuss this in detail.","Needs Analysis","70000.0","20.0","14000.0","","2006-02-07","Opportunity","Need estimate","Trade Show","false","false","Pipeline","false","","","005x0000000fNSiAAM","2005-11-22T19:39:12.000Z","005x0000000fNSiAAM","2005-11-22T19:39:12.000Z","005x0000000fNSiAAM","2005-11-22T19:39:12.000Z","","1","2006","2006 1","","Oracle_Id__c not specified"
"006x0000001YnWAAA0","false","001x0000002lBtpAAE","Alquatra - 2,000 Widgets","More widgets required.  The deal is at 50% because they are still at the sales process stage of evaluating the business/value justification that we submitted.","Value Proposition","200000.0","50.0","100000.0","","2006-02-09","Opportunity","Meet at Widget Conference","Partner","false","false","Pipeline","false","","","005x0000000fNSiAAM","2005-11-22T19:39:12.000Z","005x0000000fNSiAAM","2005-11-22T19:39:12.000Z","005x0000000fNSiAAM","2005-11-22T19:39:12.000Z","","1","2006","2006 1","","Oracle_Id__c not specified"
"006x0000001YnWBAA0","false","001x0000002lBttAAE","Universal Defense - 5,000 Widgets","The deal is at 75% because they are at the sales process stage of evaluating a proposal from us.  They have asked for the proposal and we have had some loose discussion around pricing which they are conceptually fine with.","Proposal/Price Quote","500000.0","75.0","375000.0","","2006-02-24","Opportunity","","External Referral","false","false","Pipeline","false","","","005x0000000fNSiAAM","2005-11-22T19:39:12.000Z","005x0000000fNSiAAM","2005-11-22T19:39:12.000Z","005x0000000fNSiAAM","2005-11-22T19:39:12.000Z","","1","2006","2006 1","","Oracle_Id__c not specified"
"006x0000001YnWCAA0","false","001x0000002lBtuAAE","Universal Media - 200 Widgets","The deal is at 10% because they are at the sales process stage of evaluating just being converted from a lead.  No formal sales engagement has taken place yet.","Prospecting","20000.0","10.0","2000.0","","2006-04-12","Opportunity","Need estimate","Word of mouth","false","false","Pipeline","false","","","005x0000000fNSiAAM","2005-11-22T19:39:13.000Z","005x0000000fNSiAAM","2005-11-22T19:39:13.000Z","005x0000000fNSiAAM","2005-11-22T19:39:13.000Z","","2","2006","2006 2","","Oracle_Id__c not specified"
"006x0000001YnWDAA0","false","001x0000002xLD0AAM","oppty1","","Prospecting","","10.0","","","2006-06-06","Opportunity","","","false","false","Pipeline","false","","","005x0000000fNSiAAM","2006-06-06T00:48:47.000Z","005x0000000fNSiAAM","2006-06-06T17:40:08.000Z","005x0000000fNSiAAM","2006-06-06T17:40:08.000Z","","2","2006","2006 2","12345","Duplicate external id specified: 12345"
